KEY,MOSS,DISPLAY,IS_DISPLAY,REVI
_16,16,16,1,16
_17,17,17,1,17
_18,18,18,1,18
_19,19,19,1,19
_20,20,20,1,20
_21,21,21,1,21
_22,22,22,1,22
_23,23,23,1,23
_24,24,24,1,24
_25,25,25,1,25
_26,26,26,1,26
_27,27,27,1,27
_28,28,28,1,28
_29,29,29,1,29
_30,30,30,1,30
_31,31,31,1,31
_32,32,32,1,32
_33,33,33,1,33
_34,34,34,1,34
_35,35,35,1,35
_36,36,36,1,36
_37,37,37,1,37
_38,38,38,1,38
_39,39,39,1,39
_40,40,40,1,40
_41,41,41,1,41
_42,42,42,1,42
_43,43,43,1,43
_44,44,44,1,44
_45,45,45,1,45
_46,46,46,1,46
_47,47,47,1,47
_48,48,48,1,48
_49,49,49,1,49
_50,50,50,1,50
_51,51,51,1,51
_52,52,52,1,52
_53,53,53,1,53
_54,54,54,1,54
_55,55,55,1,55
_56,56,56,1,56
_57,57,57,1,57
_58,58,58,1,58
_59,59,59,1,59
_60,60,60,1,60
_61,61,61,1,61
_62,62,62,1,62
_63,63,63,1,63
_64,64,64,1,64
_65,65,65,1,65
_66,66,66,1,66
_67,67,67,1,67
_68,68,68,1,68
_69,69,69,1,69
_70,70,70,1,70
_71,71,71,1,71
_72,72,72,1,72
_73,73,73,1,73
_74,74,74,1,74
_75,75,75,1,75
